LABEL,TEXT
FALSE,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.
pants-fire,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.
TRUE,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.
barely-true,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country
barely-true,"Maggie Hassan raised tuition, making it the highest in America."
FALSE,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.
TRUE,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history"
barely-true,"We have towns in West Texas that are out of water, that are having to truck in water."
half-true,"In Georgia, women earn 82 cents for every dollar earned by men."
half-true,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.
barely-true,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements."
FALSE,Sen. Obama's campaign announced that he's choosing his cabinet.
mostly-true,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out."
FALSE,Only 2 percent of public high schools in the country offer PE classes.
mostly-true,"Said he's the only Republican candidate ""who's actually turned around a government economy."""
TRUE,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong."""
mostly-true,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools."
FALSE,"Under Mayor Cicilline, [Providence] was a sanctuary city."
pants-fire,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.
TRUE,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised."
FALSE,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts."
barely-true,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.
barely-true,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.
TRUE,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor."
barely-true,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate."
mostly-true,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person."""
mostly-true,The only time in our history when the debt has been higher than this was the end of World War II.
mostly-true,The cost of health care is now the single-biggest factor driving down the federal budget deficit.
TRUE,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent."
FALSE,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.
barely-true,Says one out of three U.S. homeless men is a veteran.
FALSE,Says Charlie Crist supports cuts to the Medicare Advantage program.
half-true,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.
TRUE,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.
half-true,"At some point in their lives, 99% of women use birth control."
FALSE,"In the past 20 years, Egypt has made great strides in political and democratic reform."
FALSE,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.
TRUE,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.
half-true,"In Rick Perrys Texas, we import nurses ... from other countries."
mostly-true,There is a federal criminal law that says its a crime to transport dentures across state lines.
mostly-true,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.
barely-true,"Sen. McCain's tax plan provides ""virtually nothing to the middle class."""
FALSE,Austin is burdened by the fastest-growing tax increases of any major city in the nation.
FALSE,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world."
TRUE,I belong to the AFL-CIO.
mostly-true,The insurance commissioner cant do squat about health care.
half-true,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.
barely-true,"President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon."
barely-true,Says David Jolly supports privatizing Social Security.
TRUE,Did you know US population growth is at its lowest since the Great Depression?
mostly-true,"The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones."
TRUE,"Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history."
mostly-true,A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.
FALSE,The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.
pants-fire,"The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years."
mostly-true,"Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty."
mostly-true,"Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism."
FALSE,"NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO."
TRUE,Sen. Obama has always had a 100 percent prochoice rating.
half-true,"Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million."
TRUE,The (federal) debt is growing by more than $4 billion a day.
half-true,"Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers."
FALSE,"Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old."
mostly-true,Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.
half-true,"Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year."
half-true,"The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody."
barely-true,Says Obama promised unemployment would never go above 8 percent.
TRUE,The economy is creating jobs at the fastest pace since 1999.
mostly-true,President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.
mostly-true,"In a majority of states, you can now marry freely, but can still be fired for who you love."
pants-fire,Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.
pants-fire,"Rudy Giuliani is ""probably the most underqualified man since George Bush to seek the presidency."""
FALSE,"About half of the presidents have been governors; half of them, senators."
mostly-true,"After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s."
mostly-true,"Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years."
TRUE,Says 88 Texas constables have died in the line of duty.
mostly-true,"Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000."
mostly-true,"The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions."
TRUE,"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man."
mostly-true,You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.
FALSE,The Air Force wants taxpayers to fund a fantasy football league.
pants-fire,Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.
half-true,About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.
mostly-true,Some neighborhood schools are closing.
mostly-true,He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.
mostly-true,"The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered."
barely-true,"We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years."
TRUE,Says the U.S. Supreme Court found that Social Security is not guaranteed.
FALSE,SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.
TRUE,Oregonians have an amazing no-cost way to fight abortion with free political donations
pants-fire,"The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country."
barely-true,"Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support."
mostly-true,Newt Gingrichs immigration plan offers a new doorway to amnesty.
FALSE,Mr. Caprio is a career politician who has never worked in the private sector.
barely-true,"In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent."
mostly-true,"In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!"
mostly-true,President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.
half-true,Donald Trump has said nuclear proliferation is OK.
TRUE,"Hillary Clinton has taken over $800,000 from lobbyists."
FALSE,Barack Obama has never even worked in business.
half-true,Says the Arizona immigration law expressly bans racial profiling.
FALSE,Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.
barely-true,"On the VA: Over 300,000 veterans have died waiting for care."
mostly-true,Were now spending 42 percent of our economy on government.
barely-true,Rob Cornilles supports privatizing Medicare.
FALSE,"In 2005, Dan Branch tried to expand third-trimester abortions in Texas."
half-true,We (Democrats) have made steady progress creating jobs and improving our schools.
pants-fire,Michigan and Massachusetts raised their bottle deposit and could no longer afford the program because the redemptions were so high there was no profit in there.
TRUE,"Whether you like to admit it or not, half our general revenue goes to education."
FALSE,Im the only one whos fought against developers draining the Everglades!
half-true,Says Ron Johnson calls Social Security a Ponzi scheme and wants to privatize the program.
half-true,"There are 31 other states and 10,000 other cities that have the same type of policies that we just passed, referring to North Carolinas House Bill 2."
barely-true,Climate change is directly related to the growth of terrorism.
barely-true,The jobs bill includes President Obamas tax on soup kitchens
barely-true,Says the Obama administration spent taxpayer dollars on electric cars in Finland (and) windmills in China.
half-true,While Sarah was Mayor of Wasilla she tried to fire our highly respected City Librarian because the Librarian refused to consider removing from the library some books that Sarah wanted removed.
half-true,"If Milwaukee approves reducing its maximum forfeiture for marijuana possession to $50, the city would have 23 different bicycle violations that have a higher forfeiture."
FALSE,We have more illegal immigrants here than we did five years ago.
barely-true,Says Rick Perry wrote a letter supporting Hillarycare.
FALSE,The U.S. Patent and Trademark Office received zero complaints about the Washington Redskins name.
pants-fire,"The presidents health care proposals will cause most Americans to have their premiums increased, not decreased, and hundreds of millions of people lose their current insurance coverage."
mostly-true,(Mexican immigrants) are more law-abiding than U.S. citizens and that is a statistic.
half-true,Says Chris Christie vetoed a jobs package of 30 bills.
TRUE,There are already more American jobs in the solar industry than in coal mining.
half-true,Says Illinois gubernatorial candidate Bill Bradys first priority after winning the primary was to sponsor a bill that would mass-euthanize sheltered dogs and cats in gas chambers.
half-true,Barack Obama is in an economy thats only worsened since hes been president of the United States.
mostly-true,"Romney failed to take action against ""sanctuary cities"" in Massachusetts."
half-true,"Says New Jersey is down nearly 200,000 jobs from its pre-recession peak and with Gov. Chris Christie New Jersey has trailed the rest of America when it comes to unemployment for 12 consecutive months."
FALSE,Says Thomas Eric Duncan came into the United States with an elevated temperature.
mostly-true,We have been in Afghanistan longer now than we have been in any foreign land conducting a war in our nations history.
half-true,Gas prices have gone up $2 since Obama took office.
TRUE,Webster sponsored a bill to create a form of marriage that would trap women in abusive relationships.
TRUE,Says judges get better benefits at a lower cost than everybody else in the state.
TRUE,There are a lot of casinos across the country that have gone bankrupt.
TRUE,Small businesses create 70 percent of the jobs in America.
half-true,"Seniors with coverage under Medicare Advantage will give up ""more than their share"" because of health care reform"
half-true,"Over 12,000 school kids were arrested in Florida. It makes Florida the nations leader in that area."
mostly-true,If Texas were a country our economy would rank # 10...in the WORLD.
FALSE,There are more oil rigs in operation in the United States than the rest of the world combined.
half-true,"Payday lenders profit from the poor by charging 1,000-plus percent interest."
half-true,"The Social Security trust fund is sound. Without anything being done, it would function well into 2038; and even after that time with no changes, we could pay 80 percent of the benefits that people have earned."
mostly-true,It is a commitment voters take very seriously: The only incumbent in Ohio to break his Pledge and vote for Ted Stricklands income tax hike was defeated soundly on Tuesday.
FALSE,The Obama administration shut down the Amber Alert program because of the government shutdown.
mostly-true,The Republicans have 2 percent of the Muslim vote.
mostly-true,"[W]e see Americas prison population exploding, with America having a greater percentage of its people behind bars than any other nation in the world!"
pants-fire,"Says that in a hearing, Rep. Gabrielle Giffords suggested to Gen. David Petraeus that the Army put more emphasis on less environmentally damaging methods, like stabbing or clubbing enemy forces in order to minimize the carbon output."
half-true,"Every single one of the 41 Republican senators who just blocked a raise in the minimum wage will receive a $2,800 cost-of-living adjustment on January 1, 2015."
TRUE,"In Texas, the No. 1 name for new male babies many of whom will vote one day is Jose."
mostly-true,Marco Rubio voted against authorizing President Obama to strike Syria after Assad used chemical weapons on his own people.
FALSE,"Under the Cash for Clunkers program, all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500."
FALSE,Not one Republican has the guts to recognize that climate change is real.
half-true,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent."
pants-fire,David Dewhurst has a record of promoting an income tax.
mostly-true,Point Pleasant Beach does not own its beaches; they are privately owned and operated by businesses such as Jenkinsons
barely-true,"In the past year, more than 20 percent of Americans have changed their mind about the war in Afghanistan. They conclude we shouldn't be there."
FALSE,"In the last five years, 28,000 people have been killed along the U.S.-Mexico border."
barely-true,The state of Ohio has one of the lowest unemployment rates in the nation right now and is leading the pack in terms of job creation.
FALSE,Says Obama health reform law denies millions access to affordable insurance.
barely-true,Says HB2 hasnt moved the needle one iota on North Carolinas economy.
FALSE,Close to 30% of our federal prison population consists of illegal immigrants.
FALSE,Says Rick Scott called education not a core function of the state.
FALSE,"The Family Research Council, according to some government agencies, is a terrorist group."
TRUE,"Says Rep. Jim Weidner proposed a bill taking away health care for 80,000 of Oregons children."
TRUE,Says that in the 1985 election former Gov. Tom Kean had the largest winning margin for a gubernatorial candidate in Jersey history.
FALSE,Obamacare is the biggest tax increase in American history.
TRUE,You ... said that Barack Obama was not ready to be commander in chief.
mostly-true,"The median male worker in this country has not seen a raise, inflation adjusted, for 30 years, basically."
barely-true,Milwaukee Mayor Tom Barrett has held the line on property taxes.
TRUE,Im the only member of the House of Representatives who raised most of his campaign funds in the last election from small contributions of less than $200.
TRUE,"Unlike the gridlock in Washington, more than 80 percent of the bills we passed during this General Assembly had bipartisan support."
FALSE,Josh Mandel is lying about his own record. The rating of Ohios investment fund has NOT improved.
half-true,"Rick Scott took $200,000 from a family that leased land for drilling and now he is trying to hide from it."
half-true,On how money from a possible lease of the Ohio Turnpike would be used
mostly-true,"At the beginning of the last decade ... America had a budget surplus of over $200 billion. By the time I took office, we had a one-year deficit of over $1 trillion and projected deficits of $8 trillion over the next decade."
half-true,"The president has had 1,540 of his nominations confirmed, only four defeated."
TRUE,U.S. taxpayers are being forced to fund Feisal Abdul Raufs trip to the Middle East.
barely-true,"Milwaukee County taxpayers paid $370,000 to settle a lawsuit over a decision by Sheriff David A. Clarke Jr. to use untrained corrections officers rather than deputies to patrol the lakefront."
mostly-true,There are Justice Department policies against FBI Director James Comey discussing details of a federal investigation so close to an election.
TRUE,"Democratic presidents ""have been considerably more effective at creating private-sector jobs."""
TRUE,"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq."""
barely-true,Says Rush Limbaugh made it clear hed rather see the country fail than President Barack Obama succeed.
half-true,One percent of the American people make over 21 percent of all the income in America. That wasnt the way before George Bush became president.
half-true,"Military ""recruiting went on at Harvard every single day throughout the time (Kagan) was there."""
mostly-true,"Says that under Rick Perrys plan, Texas has cut funding for public schools by 25%."
half-true,"Says David Perdue wants to abolish the U.S. Department of Education, which would cost Georgia schools $1 billion a year and eliminate millions in student loans."
mostly-true,The Paul Ryan budget proposal would privatize Medicare.
mostly-true,High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.
half-true,The United States imprisons more than any nation in the world.
pants-fire,Says Marco Rubio is the one for an open border.
mostly-true,"...Over 30 years, federal spending on education has grown by 375 percent, but test scores remain flat."
barely-true,Says cuts to Medicare affect people who have already paid in. We paid for it.
barely-true,David Alameel is giving thousands of dollars to support the Republican Party candidates including John Cornyn and Greg Abbott.
TRUE,The American healthcare system burns 18 percent of our national GDP. Nobody else is close.
FALSE,Providences port is 200 miles closer to Europe than any other Eastern port.
TRUE,Says you need a photo ID to purchase Sudafed in Texas.
mostly-true,Twenty percent of housing in Portlands Pearl District is affordable.
mostly-true,"Says allowing the payroll tax holiday to expire would end up costing another estimated 900,000 jobs in 2012."
half-true,Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.
half-true,Numerous studies have shown that these so-called right-to-work laws do not generate jobs and economic growth.
TRUE,"Obama's budget plan would take national debt up to about 80 percent of gross national product. ... Historically, it's been about 40 percent."
barely-true,Says Hillary Clinton said the Veterans Affairs scandal is over-exaggerated. She said she was satisfied with what was going on.
FALSE,We now have driven (health care) costs down to the lowest theyve been in 50 years.
half-true,"President Barack Obama's ""initial response when we heard about the Christmas underwear bomber"" was to say that ""this was the act of an isolated extremist."""
half-true,"Says Sen. Sherrod Brown admitted that his $787 billion stimulus law failed and after specifically attacking Republicans for wanting to lower Americans taxes, (he) now claims that his stimulus bill didnt do enough to lower taxes."
mostly-true,"In the 1950s, ""A lot of people got rich and they had to pay a top tax rate of 90 percent."""
mostly-true,"The Charleston, S.C., shootershould have never been given a gun, but the universal background check was not fast enough."
barely-true,Sixty-five percent of the Iraqi people now say it's okay to shoot an American soldier.
FALSE,Twelve judges have thrown out legal challenges to the health care law because they rejected the notion that the health care law was unconstitutional.
half-true,Says Gov. Chris Christies proposal to reduce state income taxes would be the second tax cut for the rich by the governor in two years.
TRUE,Warren (Buffett) still does support me.
TRUE,Says George LeMieux was one of two Republicans who voted for President Barack Obamas jobs bill.
FALSE,A precinct in the Allen West-Patrick Murphy recount has 7 registered voters in Guatemalan community and the tally showed 900 voted!!!!!
mostly-true,"About 230,000 people that were on unemployment when I took office are not on unemployment now."
barely-true,"One person, Kathleen Sebelius, was going to determine whether or not 10-year-old lung patient Sarah Murnaghan would live or die."
pants-fire,Ron Klein repeatedly voted in favor of amnesty for illegal immigrants.
FALSE,Local law enforcement . . . will have access to the [Obamacare] Data Hubs treasure trove of personal info.
TRUE,"During his tenure as mayor, he saw Houstons crime rates drop to the lowest levels in more than 25 years."
pants-fire,Barack Obamas Columbia University ID says he was a foreign student and went by Barry Soetoro.
barely-true,"John McCain, ""one of the richest people in a Senate filled with millionaires,"" says the solution to the housing crisis is for people to get a ""second job"" and ""skip their vacations."""
FALSE,"Terry McAuliffe wants to raise your taxes $1,700 to pay for his infinite promises."
half-true,"Hypocrisy at the Clinton Foundation: Top male staff made on average $218,029 while top female staff made $153,014 from 2010-2014."
mostly-true,"Since the federal Violence Against Women Act was adopted in 1994, cases of domestic violence have fallen by 67 percent."
half-true,Says federal law enforcement officers cut off questioning of the Christmas Day underwear bomber by giving him a Miranda warning after 30 minutes of questioning.
half-true,On legalizing illegal immigrants.
TRUE,Nearly half of all pregnancies in the U.S. are unintended.
half-true,"We are ""borrowing Saudi money for Saudi oil"" with the result being ""dependency and debt."""
half-true,"Says there are homes for sale on and around (Oswego Lake) right now for under $150,000 that anyone is welcome to buy."
half-true,"Since the president became the president, we have lost 3.3 million jobs in the private sector. But you know whos done OK and whos not complaining today? The public sector. Weve gained 590,000 public sector jobs."
FALSE,The top 1 percent pay over half of the entire revenue for this country.
barely-true,The difference over the (previous) four years between where things were headed and where we brought them to over the last four years is a total of $816 in saved property tax money.
half-true,Chris Christie has not increased the taxes on anyone.
barely-true,The United States does not have a system through which growers and dairies can bring a workforce legally into the U.S.
FALSE,Says he never said he would keep education funding the same.
TRUE,"Since 1978, college tuition nationwide has gone up something like four times the rate of inflation."
half-true,"Says Sen. Rob Portman said, It would be irresponsible not to cut Medicare."
mostly-true,"Most of, if not all of, the [DeKalb school construction] projects always came in on or were under budget."
FALSE,(Palin) supported right-wing extremist Pat Buchanan for president in 2000.
barely-true,Says Sen. Sherrod Brown voted to block American energy production and increase energy taxes.
barely-true,Says Jeanne Shaheen voted for a measure that would have amounted to a new national energy tax.
half-true,"Washington, D.C., had some of the strictest gun laws in the country. And when they passed them, violence skyrocketed."
mostly-true,Seven presidents before (Barack Obama) -- Republicans and Democrats -- tried to expand health care to all Americans.
FALSE,"While fighting a move to toughen penalties for workplace gender discrimination, state Sen. Glenn Grothman said he didnt believe women belonged in the workplace but belonged at home, cooking and cleaning and having babies."
FALSE,"If you put the $47 billion in revenue (raised over 10 years by the Buffett rule) into infrastructure you could create 611,000 infrastructure jobs."
pants-fire,What is the proper collective noun for a group of baboons? Believe it or not . . . a Congress!
TRUE,I have repeatedly said that many of the predatory loans that were made in the mortgage system did target African-American and Latino communities.
mostly-true,"Starting in December 2007, 1.4 million jobs were created in Texas. In that same period, the rest of the country lost 400,000 jobs."
barely-true,The (health reform) legislation which Washington passed last year has made it more difficult to hire because its increased costs for employers.
barely-true,"The CBO, the Congressional Budget Office has said that Obamacare will kill 800,000 jobs."
barely-true,"Thompson ""voted against $250,000 caps on damages (and) almost anything that would make our legal system fairer."""
pants-fire,Texas this fiscal year will have more money in reserve than the other 49 states combined.
FALSE,On using the Strategic Petroleum Reserve.
mostly-true,Immigrants are more fertile.
mostly-true,"The proposed education changes ""will not cut one teacher's pay."""
pants-fire,The number of uninsured people in Massachusetts is about the same as it was when the mandates were passed in 2006.
mostly-true,Firearms homicides are down about 40 percent since Texas passed concealed-gun permit law.
FALSE,Upwards of 90 percent of women seeking an abortion decide not to have an abortion after seeing an ultrasound.
pants-fire,We spend less on defense today as % of GDP than at any time since Pearl Harbor.
mostly-true,If you got rid of the income tax today you'd have about as much revenue as we had 10 years ago.
half-true,"Says Scott Walker wants to ban common forms of birth control, including the pill."
FALSE,Jason Kander supports [Obamas] plan to bring the remaining suspected terrorists to U.S. soil.
half-true,"Shelby County donated Im sorry, gave 44 schools to the city of Memphis."
half-true,"Top U.S. intelligence officials have toldevery member of Congress, including the president, were about to be attacked in a serious way because (of) the threat emanating from Syria and Iraq."
TRUE,Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.
TRUE,"In July 1996, Mitt Romney helped locate the missing teenage daughter of a partner at Bain Capital."
barely-true,Blames Mike McIntyre and Nancy Pelosi for the second straight year of no cost-of-living increases for Social Security beneficiaries.
barely-true,The government is going to have the right to get into your bank account with the health care bill and make transfers without you knowing it.
half-true,There are mechanisms in place to shut down the Internet privately.
barely-true,The American people support defunding Obamacare and oppose shutting down the government.
half-true,Report that #GOP insisting on changes to Social Security as part of #fiscalcliff false. BTW those changes are supported by @barackobama.
TRUE,"Nobody has played clips over and over ...of President Obama (saying), If they bring a knife to the fight, well bring a gun."
pants-fire,The people of Rhode Island dont want same-sex marriage.
half-true,"Rep. Paul Ryans Medicare plan lines the pockets of the private insurance companies, increases costs for seniors and does not reduce the deficit."
barely-true,This year in Congress (Connie Mack IV) has missed almost half of his votes.
barely-true,"1/3 of our kids drop out (of high school), cannot go to college or start a career."
barely-true,Not even old Gen. Eisenhower saluted military personnel as president.
TRUE,"If Wisconsins governor cuts perquisites as much as he plans to do, it would still leave (workers) better off than their private sector counterparts."
barely-true,"You cant get on an airplane, but more than 2,000 people on that list have been able to buy a gun."
FALSE,74 percent of Republicans support the Affordable Care Act.
half-true,"For every $1 spent on afterschool programs, we can save over $5, almost $6, in crime costs down the line."
half-true,"The federal government has $3 trillion in cash flow, so we can pay our bills and wont default."
FALSE,Says Alex Sink failed Florida homeowners by using predatory lending practices.
barely-true,Over 40 percent of small and mid-size banks that loan money to small businesses have been wiped out since Dodd-Frank has passed.
barely-true,You cant check out a library book without a photo ID.
pants-fire,Says that Starbucks took Christmas off of their brand new cups.
mostly-true,Atmospheric conditions could push a footballs pressure down approximately one-and-a-half pounds per square inch.
FALSE,"Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding."
TRUE,"Under legislation that has cleared the Georgia House, some children who are legal refugees could obtain state scholarships to attend private schools."
mostly-true,"We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year."
half-true,The STAR Ohio fund just received the highest possible credit rating one of these funds can receive.
half-true,"Taxpayers are on the hook ... for less than a third of the proposed new Atlanta Falcons stadium, and those funds are repaid from money that comes from outsiders."
mostly-true,"In the last 22 months, businesses have created more than 3 million jobs. Last year, they created the most jobs since 2005."
half-true,"Every year, more than $40 million are leaving Missouri for the Lone Star State."
